Numer RSPO;REGON;NIP;Typ;Nazwa;Kod terytorialny województwo;Kod terytorialny powiat;Kod terytorialny gmina;Kod terytorialny miejscowość;Kod terytorialny ulica;Województwo;Powiat;Gmina;Miejscowość;Rodzaj miejscowości;Ulica;Numer budynku;Numer lokalu;Kod pocztowy;Poczta;Telefon;Faks;E-mail;Strona www;Publiczność status;Kategoria uczniów;Specyfika placówki;Imię i nazwisko dyrektora;Data założenia;Data rozpoczęcia działalności;Data likwidacji;Typ organu prowadzącego;Nazwa organu prowadzącego;REGON organu prowadzącego;NIP organu prowadzącego;Województwo organu prowadzącego;Powiat organu prowadzącego;Gmina organu prowadzącego;Miejsce w strukturze;RSPO podmiotu nadrzędnego;Typ podmiotu nadrzędnego;Nazwa podmiotu nadrzędnego;Liczba uczniów;Tereny sportowe;Języki nauczane;Czy zatrudnia logopedę;Czy zatrudnia psychologa;Czy zatrudnia pedagoga;Oddziały podstawowe wg specyfiki;Oddziały dodatkowe;Zawód;Zawód artystyczny;Zawód w KPSS;Dziedzina BCU
"264342";"=""368314897""";"=""9542180090""";"Przedszkole";"ANGLOJĘZYCZNE PRZEDSZKOLE MONTESSORI OXFORD PRE-SCHOOL";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""17749""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Przepiórek";"=""9""";"=""""";"=""40-538""";"Katowice";"=""572362429""";"=""""";"info@przedszkoleoxford.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ANNA SOBSTEL-URBAN";"2017.09.18";"2017.09.30";"";"Osoba fizyczna";"SOBSTEL-URBAN ANNA";"=""""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"57";"";"angielski";"Nie";"Nie";"Nie";"ogólnodostępny";"";"";"";"";""
"268201";"=""381014194""";"=""5492156123""";"Placówka Kształcenia Ustawicznego - bez szkół";"AS EDUKACJA CENTRUM SZKOLENIOWE W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""12327""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Mariacka";"=""33""";"=""""";"=""40-014""";"Katowice";"=""725302650""";"=""""";"sekretariat@katowice.eu";"";"niepubliczna";"Bez kategorii";"brak specyfiki";" ";"2018.08.14";"2018.08.14";"";"Osoba fizyczna";"Batko Marcin";"=""""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"szkoła/placówka wchodząca w skład jednostki złożonej";"267657";"Zespół szkół i placówek oświatowych";"AS EDUKACJA MARCIN BATKO ZESPÓŁ SZKÓŁ DLA DOROSŁYCH W KATOWICACH";"0";"";"";"Nie";"Nie";"Nie";"";"Kursy kwalifikacyjne";"";"";"";""
"267657";"=""380478566""";"=""5492156123""";"Zespół szkół i placówek oświatowych";"AS EDUKACJA MARCIN BATKO ZESPÓŁ SZKÓŁ DLA DOROSŁYCH W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""12327""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Mariacka";"=""33""";"=""""";"=""40-014""";"Katowice";"=""725302650""";"=""""";"sekretariat@asedukacja.pl";"www.asedukacja.pl";"niepubliczna";"Bez kategorii";"brak specyfiki";"JOANNA GAJEWSKA-BATKO";"2018.05.21";"2018.06.01";"";"Osoba fizyczna";"Batko Marcin";"=""""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"jednostka złożona";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"263809";"=""368224898""";"=""5492156123""";"Szkoła policealna";"AS EDUKACJA-SZKOŁA POLICEALNA W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""12327""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Mariacka";"=""33""";"=""""";"=""40-014""";"Katowice";"=""725302650""";"=""""";"marcin.batko@interia.eu";"";"niepubliczna";"Bez kategorii";"brak specyfiki";" ";"2017.05.12";"2018.09.01";"";"Osoba fizyczna";"Batko Marcin";"=""""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"szkoła/placówka wchodząca w skład jednostki złożonej";"267657";"Zespół szkół i placówek oświatowych";"AS EDUKACJA MARCIN BATKO ZESPÓŁ SZKÓŁ DLA DOROSŁYCH W KATOWICACH";"26";"";"angielski";"Nie";"Nie";"Nie";"ogólnodostępny";"";"Technik bezpieczeństwa i higieny pracy, Asystentka stomatologiczna, Technik masażysta, Technik administracji, Asystent osoby niepełnosprawnej, Opiekunka dziecięca, Technik usług kosmetycznych, Florysta, Opiekun medyczny, Technik sterylizacji medycznej";"";"";""
"278772";"=""520070989""";"=""6272776195""";"Liceum ogólnokształcące";"AUTORSKA SZKOŁA PONADPODSTAWOWA-LICEUM SOWIZDRZAŁA";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""33326""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Tadeusza Boya Żeleńskiego";"=""96""";"=""""";"=""40-750""";"Katowice";"=""785335454""";"=""""";"kontakt@liceumsowizdrzala.pl";"www.liceumsowizdrzala.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"DOMINIKA HOFMAN-KOZŁOWSKA";"2021.09.30";"2022.09.01";"";"Fundacje";"FUNDACJA EKOSYSTEM ROŚNIE";"=""520989480""";"=""6272776195""";"ŚLĄSKIE";"Chorzów";"Chorzów";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"20760";"=""243052951""";"=""6292374666""";"Przedszkole";"BAJKOWE PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI I SPECJALNYMI";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""13184""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Modrzewiowa";"=""30a""";"=""""";"=""40-171""";"Katowice";"=""530909490""";"=""""";"nzoz-bajkowe@wp.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"AGATA OSTROWSKA";"2009.09.30";"2009.10.26";"";"Spółki Handlowe";"NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ""MEDICAL-CENTER"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""240713079""";"=""6292374666""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"36";"";"angielski";"Nie";"Nie";"Nie";"ogólnodostępny, specjalny";"Wczesne wspomaganie rozwoju";"";"";"";""
"130559";"=""364184587""";"=""6342580305""";"Placówka Kształcenia Ustawicznego - bez szkół";"BEAUTY ACADEMY NIEPUBLICZNA PLACÓWKA KSZTAŁCENIA USTAWICZNEGO W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""07634""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Józefowska";"=""10""";"=""7""";"=""40-144""";"Katowice";"=""692691355""";"=""""";"beautyacademykatowice@gmail.com";"";"niepubliczna";"Bez kategorii";"brak specyfiki";" ";"2016.04.05";"2016.04.11";"";"Osoba fizyczna";"Gawlik Marta";"=""""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"21838";"=""243056446""";"=""6441953519""";"Placówka Kształcenia Ustawicznego - bez szkół";"BH TEST JERZY DZWONEK";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""15421""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Oswobodzenia";"=""1""";"=""""";"=""40-403""";"Katowice";"=""322097333""";"=""322097333""";"j.dzwonek@wp.pl";"www.bhtest.pl";"niepubliczna";"Bez kategorii";"brak specyfiki";"Jerzy Dzwonek";"2010.06.17";"2010.07.16";"";"Osoba fizyczna";"Dzwonek Jerzy";"=""""";"=""""";"ŚLĄSKIE";"Sosnowiec";"Sosnowiec";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"481993";"=""528984298""";"=""6342051587""";"Placówka Kształcenia Ustawicznego - bez szkół";"BIAR ACADEMY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""00926""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Bażantów";"=""10""";"=""1""";"=""40-668""";"Katowice";"=""603270619""";"=""""";"info@biarbeauty.com";"";"niepubliczna";"Bez kategorii";"brak specyfiki";"AGNIESZKA BRODA-SARNECKA";"2024.06.26";"2024.07.01";"";"Osoba fizyczna";"Broda-Sarnecka Agnieszka Lucyna";"=""""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"277513";"=""389019191""";"=""5732864955""";"Branżowa szkoła I stopnia";"BRANŻOWA SZKOŁA I STOPNIA COSINUS W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""12740""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Adama Mickiewicza";"=""3""";"=""""";"=""40-092""";"Katowice";"=""323520395""";"=""""";"branzowka.katowice@cosinus.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ADRIAN KOŁACZ";"2021.05.24";"2021.09.01";"";"Fundacje";"FUNDACJA IMPARE";"=""364440582""";"=""5732864955""";"ZACHODNIOPOMORSKIE";"Szczecin";"Szczecin";"samodzielna";"";"";"";"236";"";"angielski";"Tak";"Tak";"Tak";"ogólnodostępny, wielozawodowy";"";"Kucharz, Fryzjer, Sprzedawca, Blacharz samochodowy, Operator obrabiarek skrawających, Ślusarz, Mechanik-monter maszyn i urządzeń, Mechanik pojazdów samochodowych, Elektryk, Elektromechanik pojazdów samochodowych, Cukiernik, Piekarz, Stolarz, Monter zabudowy i robót wykończeniowych w budownictwie, Monter sieci i instalacji sanitarnych, Mechatronik, Lakiernik samochodowy, Przetwórca mięsa";"";"";""
"16196";"=""272107046""";"=""""";"Branżowa szkoła I stopnia";"BRANŻOWA SZKOŁA I STOPNIA NR 1";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""22728""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Techników";"=""11""";"=""""";"=""40-326""";"Katowice";"=""0322566372""";"=""""";"sekretariat@kcez.pl";"www.kcez.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"2002.05.27";"2002.09.01";"";"Miasto na prawach powiatu";"MIASTO KATOWICE";"=""276255387""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"szkoła/placówka wchodząca w skład jednostki złożonej";"478411";"Zespół szkół i placówek oświatowych";"KATOWICKIE CENTRUM EDUKACJI ZAWODOWEJ IM. POWSTAŃCÓW ŚLĄSKICH-CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO W KATOWICACH";"14";"";"angielski, niemiecki";"Nie";"Nie";"Tak";"ogólnodostępny, wielozawodowy";"";"Monter zabudowy i robót wykończeniowych w budownictwie, Murarz-tynkarz";"";"";""
"58807";"=""277842282""";"=""""";"Branżowa szkoła I stopnia";"BRANŻOWA SZKOŁA I STOPNIA NR 10 DLA NIESŁYSZĄCYCH I SŁABO SŁYSZĄCYCH SPECJALNA W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""21071""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Stanisława Staszica";"=""2""";"=""""";"=""40-230""";"Katowice";"=""0322552084""";"=""""";"sekretariat@zs1.katowice.pl";"";"publiczna";"Dzieci lub młodzież";"specjalna";" ";"2002.09.01";"2002.09.01";"";"Miasto na prawach powiatu";"MIASTO KATOWICE";"=""276255387""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"szkoła/placówka wchodząca w skład jednostki złożonej";"11893";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ NR 1 IM.GEN.JERZEGO ZIĘTKA";"12";"";"angielski, niemiecki";"Tak";"Tak";"Tak";"specjalny, wielozawodowy";"";"Fryzjer, Ogrodnik, Mechanik pojazdów samochodowych, Elektromechanik pojazdów samochodowych";"";"";""
"263737";"=""368220357""";"=""9542268896""";"Branżowa szkoła I stopnia";"BRANŻOWA SZKOŁA I STOPNIA NR 12";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""05705""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Walerego Goetla";"=""2""";"=""""";"=""40-749""";"Katowice";"=""322556131""";"=""322556131""";"zsz2murcki@poczta.onet.pl";"zs2.katowice.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"2017.09.01";"2017.09.01";"";"Miasto na prawach powiatu";"MIASTO KATOWICE";"=""276255387""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"szkoła/placówka wchodząca w skład jednostki złożonej";"480416";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ NR 2 IM. JAROSŁAWA IWASZKIEWICZA - CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO W KATOWICACH";"46";"";"angielski";"Nie";"Tak";"Tak";"ogólnodostępny, wielozawodowy";"";"Ogrodnik, Górnik eksploatacji podziemnej, Elektryk, Elektromechanik";"";"";""
"25241";"=""272109909""";"=""""";"Branżowa szkoła I stopnia";"BRANŻOWA SZKOŁA I STOPNIA NR 15";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""00432""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Armii Krajowej";"=""84""";"=""""";"=""40-671""";"Katowice";"=""0322028463""";"=""""";"ddyrekcja@zspm.pl";"";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"2002.05.27";"2002.09.01";"";"Miasto na prawach powiatu";"MIASTO KATOWICE";"=""276255387""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"szkoła/placówka wchodząca w skład jednostki złożonej";"12562";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ POLIGRAFICZNO-MECHANICZNYCH IM.ARMII KRAJOWEJ";"0";"";"";"Nie";"Tak";"Tak";"";"";"";"";"";""
"16182";"=""007000049""";"=""""";"Branżowa szkoła I stopnia";"BRANŻOWA SZKOŁA I STOPNIA NR 16 IM. JANUSZA KORCZAKA SPECJALNA";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""18819""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Rolna";"=""22""";"=""""";"=""40-555""";"Katowice";"=""0322542419""";"=""0322542419""";"sekretariat@zszs6katowice.pl";"https://zszsp6.edupage.org/";"publiczna";"Dzieci lub młodzież";"specjalna";" ";"2005.07.25";"2005.09.01";"";"Miasto na prawach powiatu";"MIASTO KATOWICE";"=""276255387""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"szkoła/placówka wchodząca w skład jednostki złożonej";"11419";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ ZAWODOWYCH SPECJALNYCH NR 6";"63";"";"angielski";"Nie";"Tak";"Tak";"specjalny, o charakterze eksperymentalnym, wielozawodowy";"";"Kucharz, Sprzedawca, Ślusarz, Mechanik pojazdów samochodowych, Pracownik pomocniczy obsługi hotelowej";"";"";""
"16224";"=""272107402""";"=""""";"Branżowa szkoła I stopnia";"BRANŻOWA SZKOŁA I STOPNIA NR 2";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""18976""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Roździeńska";"=""25""";"=""""";"=""40-382""";"Katowice";"=""0322569823""";"=""""";"sekretariat@zsgkatowice.edu.pl";"";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"2002.05.27";"2002.09.01";"";"Miasto na prawach powiatu";"MIASTO KATOWICE";"=""276255387""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"szkoła/placówka wchodząca w skład jednostki złożonej";"10855";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ GASTRONOMICZNYCH IM.GUSTWA MORCINKA";"124";"";"angielski";"Nie";"Tak";"Tak";"ogólnodostępny, integracyjny, wielozawodowy";"";"Kelner, Kucharz, Magazynier-logistyk, Pracownik obsługi hotelowej";"";"";""
"24277";"=""272109393""";"=""""";"Branżowa szkoła I stopnia";"BRANŻOWA SZKOŁA I STOPNIA NR 3";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""06485""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. gen. Józefa Hallera";"=""60""";"=""""";"=""40-358""";"Katowice";"=""0322569934""";"=""0322569291""";"sekretariat@zshkatowice.pl";"www.zshkatowice.pl";"publiczna";"Dzieci lub młodzież";"brak specyfiki";" ";"2002.05.27";"2002.09.01";"";"Miasto na prawach powiatu";"MIASTO KATOWICE";"=""276255387""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"szkoła/placówka wchodząca w skład jednostki złożonej";"11881";"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ HANDLOWYCH IM. BOLESŁAWA PRUSA";"63";"";"angielski";"Nie";"Tak";"Tak";"ogólnodostępny";"";"Sprzedawca";"";"";""
